# frame time_sec x y dx dy
103.000000 3.433715 51.850696 31.084643 1.439172 -1.113809
104.000000 3.467052 52.086384 31.254241 1.674860 -0.944211
105.000000 3.500389 51.779033 31.057388 1.367509 -1.141064
106.000000 3.533726 51.690465 31.170357 1.278941 -1.028095
107.000000 3.567063 51.606290 31.700647 1.194766 -0.497805
108.000000 3.600400 52.098621 31.166861 1.687097 -1.031591
109.000000 3.633737 51.721271 31.711807 1.309746 -0.486645
110.000000 3.667074 51.766674 31.832701 1.355150 -0.365751
111.000000 3.700411 51.679100 31.850585 1.267575 -0.347867
112.000000 3.733748 51.094637 32.099069 0.683112 -0.099383
113.000000 3.767085 52.404025 31.616762 1.992500 -0.581689
114.000000 3.800422 52.716589 31.648774 2.305065 -0.549678
115.000000 3.833759 52.169625 31.399236 1.758100 -0.799216
116.000000 3.867096 52.167791 31.704903 1.756267 -0.493549
117.000000 3.900433 54.046205 30.390853 3.634680 -1.807599
118.000000 3.933770 53.109396 31.360626 2.697872 -0.837826
119.000000 3.967107 52.254581 32.284904 1.843057 0.086452
120.000000 4.000444 52.408748 32.113455 1.997223 -0.084997
121.000000 4.033781 52.672330 31.205027 2.260805 -0.993425
122.000000 4.067118 51.890090 31.983447 1.478566 -0.215005
123.000000 4.100456 53.161884 30.895744 2.750360 -1.302708
124.000000 4.133793 52.351284 31.776476 1.939760 -0.421976
125.000000 4.167130 53.804170 30.097295 3.392645 -2.101157
126.000000 4.200467 53.830784 30.179576 3.419260 -2.018876
127.000000 4.233804 52.058582 31.386597 1.647058 -0.811855
128.000000 4.267141 52.855802 30.746269 2.444277 -1.452183
129.000000 4.300478 52.475615 31.962873 2.064091 -0.235578
130.000000 4.333815 52.499447 31.959982 2.087923 -0.238470
131.000000 4.367152 53.541042 30.407804 3.129518 -1.790648
132.000000 4.400489 53.499766 30.876054 3.088241 -1.322398
133.000000 4.433826 51.997373 31.790499 1.585849 -0.407953
134.000000 4.467163 52.083079 31.795901 1.671555 -0.402551
135.000000 4.500500 52.545193 31.523704 2.133668 -0.674748
136.000000 4.533837 52.570400 31.515744 2.158876 -0.682707
137.000000 4.567174 51.801024 31.701313 1.389499 -0.497139
138.000000 4.600511 52.581216 30.823584 2.169692 -1.374868
139.000000 4.633848 52.388074 30.565547 1.976549 -1.632905
140.000000 4.667185 52.356401 30.471422 1.944876 -1.727030
141.000000 4.700522 52.971619 30.443835 2.560095 -1.754617
142.000000 4.733859 52.649917 30.428435 2.238392 -1.770017
143.000000 4.767196 52.259182 30.800647 1.847658 -1.397805
144.000000 4.800533 52.028356 31.179511 1.616831 -1.018941
145.000000 4.833870 52.336179 30.871712 1.924655 -1.326740
146.000000 4.867207 51.967742 31.524534 1.556218 -0.673918
147.000000 4.900544 52.271796 31.477806 1.860272 -0.720646
148.000000 4.933881 52.277421 31.549967 1.865896 -0.648485
149.000000 4.967218 51.923365 31.841885 1.511840 -0.356567
150.000000 5.000555 51.652242 31.534753 1.240718 -0.663699
151.000000 5.033893 52.015478 31.523329 1.603953 -0.675123
152.000000 5.067230 51.631531 31.262608 1.220007 -0.935844
153.000000 5.100567 51.736256 31.368015 1.324732 -0.830437
154.000000 5.133904 51.740650 31.728183 1.329126 -0.470269
155.000000 5.167241 52.483506 30.269925 2.071981 -1.928527
156.000000 5.200578 52.435714 30.643810 2.024190 -1.554642
157.000000 5.233915 52.410995 30.636840 1.999470 -1.561612
158.000000 5.267252 53.889323 30.330809 3.477799 -1.867643
159.000000 5.300589 52.318564 31.337878 1.907040 -0.860574
160.000000 5.333926 52.034757 31.414584 1.623233 -0.783868
