# frame time_sec x y dx dy
0.000000 0.000000 51.204805 33.804301 0.000000 0.000000
1.000000 0.033343 51.181308 34.331269 -0.023497 0.526968
2.000000 0.066685 51.005401 33.582116 -0.199404 -0.222185
3.000000 0.100028 51.512960 32.957776 0.308155 -0.846526
4.000000 0.133370 51.991789 32.588842 0.786984 -1.215459
5.000000 0.166713 52.017176 32.535835 0.812370 -1.268466
6.000000 0.200056 52.339525 33.491793 1.134720 -0.312509
7.000000 0.233398 52.069964 33.905094 0.865159 0.100793
8.000000 0.266741 51.675823 33.391277 0.471018 -0.413024
9.000000 0.300083 51.510031 33.732368 0.305226 -0.071933
10.000000 0.333426 51.431071 34.036531 0.226266 0.232230
11.000000 0.366768 51.113200 34.461627 -0.091605 0.657326
12.000000 0.400111 52.571489 32.440338 1.366684 -1.363964
13.000000 0.433454 52.645864 32.514346 1.441059 -1.289956
14.000000 0.466796 52.072043 33.270774 0.867237 -0.533528
15.000000 0.500139 52.107216 33.296023 0.902411 -0.508279
16.000000 0.533481 52.800290 33.188304 1.595485 -0.615998
17.000000 0.566824 52.615609 33.117794 1.410803 -0.686508
18.000000 0.600167 52.176095 32.519779 0.971290 -1.284523
19.000000 0.633509 52.205249 32.585022 1.000443 -1.219279
20.000000 0.666852 52.319203 32.994753 1.114397 -0.809548
21.000000 0.700194 51.957128 33.152966 0.752323 -0.651336
22.000000 0.733537 51.789969 33.243678 0.585163 -0.560623
23.000000 0.766880 52.137867 33.189644 0.933061 -0.614657
24.000000 0.800222 51.803639 34.119636 0.598833 0.315335
25.000000 0.833565 51.087534 34.572880 -0.117271 0.768579
26.000000 0.866907 51.610686 33.864074 0.405880 0.059772
27.000000 0.900250 51.581996 34.054795 0.377191 0.250493
28.000000 0.933593 52.023565 33.263444 0.818760 -0.540857
29.000000 0.966935 53.346847 31.978979 2.142042 -1.825323
30.000000 1.000278 53.324370 32.339615 2.119565 -1.464687
31.000000 1.033620 52.614646 32.975875 1.409840 -0.828426
32.000000 1.066963 52.297503 33.198053 1.092698 -0.606248
33.000000 1.100305 52.369170 33.473959 1.164364 -0.330342
34.000000 1.133648 52.313551 33.724009 1.108745 -0.080292
35.000000 1.166991 53.010386 33.389697 1.805581 -0.414605
36.000000 1.200333 52.715702 33.712397 1.510897 -0.091905
37.000000 1.233676 52.125876 32.559966 0.921070 -1.244335
38.000000 1.267018 51.724513 33.062173 0.519708 -0.742129
39.000000 1.300361 52.057342 33.830432 0.852537 0.026131
40.000000 1.333704 51.975484 33.794190 0.770679 -0.010111
41.000000 1.367046 52.171713 32.895829 0.966908 -0.908473
42.000000 1.400389 52.303829 32.759573 1.099024 -1.044728
43.000000 1.433731 51.596790 33.937389 0.391985 0.133087
44.000000 1.467074 52.048800 33.516435 0.843995 -0.287867
45.000000 1.500417 51.673345 33.771558 0.468540 -0.032744
46.000000 1.533759 51.226060 34.005495 0.021254 0.201193
47.000000 1.567102 51.358465 33.916732 0.153659 0.112431
48.000000 1.600444 51.715815 33.202224 0.511010 -0.602077
49.000000 1.633787 52.339630 33.078887 1.134825 -0.725414
50.000000 1.667130 52.325129 33.278594 1.120324 -0.525708
51.000000 1.700472 51.076983 34.795623 -0.127822 0.991322
52.000000 1.733815 52.020855 33.637293 0.816049 -0.167009
53.000000 1.767157 52.299599 33.155926 1.094793 -0.648375
54.000000 1.800500 51.916896 33.025016 0.712091 -0.779286
55.000000 1.833842 51.729204 33.787533 0.524399 -0.016769
56.000000 1.867185 51.838889 33.612698 0.634084 -0.191603
57.000000 1.900528 51.684335 34.110718 0.479529 0.306417
58.000000 1.933870 52.191741 33.139656 0.986936 -0.664646
59.000000 1.967213 51.599255 34.432719 0.394449 0.628417
60.000000 2.000555 51.647346 34.651054 0.442541 0.846752
61.000000 2.033898 52.902635 33.539932 1.697830 -0.264370
62.000000 2.067241 52.748265 33.413230 1.543459 -0.391072
63.000000 2.100583 51.524674 35.067877 0.319869 1.263575
64.000000 2.133926 51.505188 35.299943 0.300382 1.495642
65.000000 2.167268 51.505188 35.299943 0.300382 1.495642
66.000000 2.200611 52.903372 33.161184 1.698566 -0.643117
67.000000 2.233954 53.085011 33.182022 1.880206 -0.622280
68.000000 2.267296 53.453237 32.591367 2.248432 -1.212935
69.000000 2.300639 53.189926 32.781173 1.985120 -1.023129
70.000000 2.333981 52.938999 32.590157 1.734194 -1.214144
71.000000 2.367324 52.168548 33.296371 0.963743 -0.507931
72.000000 2.400666 52.190361 33.371648 0.985556 -0.432654
73.000000 2.434009 52.634921 33.073940 1.430115 -0.730361
74.000000 2.467352 52.572284 33.215455 1.367479 -0.588846
75.000000 2.500694 52.159754 33.480452 0.954949 -0.323849
76.000000 2.534037 52.224005 33.463854 1.019199 -0.340447
77.000000 2.567379 52.292188 33.040599 1.087383 -0.763703
78.000000 2.600722 52.198320 33.106945 0.993515 -0.697356
79.000000 2.634065 52.938763 33.125707 1.733958 -0.678594
80.000000 2.667407 52.891049 33.100446 1.686244 -0.703856
81.000000 2.700750 54.109382 32.283369 2.904576 -1.520933
82.000000 2.734092 53.952421 32.498234 2.747615 -1.306068
83.000000 2.767435 53.902894 32.506921 2.698089 -1.297380
84.000000 2.800778 53.902894 32.506921 2.698089 -1.297380
85.000000 2.834120 53.822976 32.495920 2.618170 -1.308382
86.000000 2.867463 53.186893 32.650817 1.982087 -1.153485
87.000000 2.900805 52.400954 33.976753 1.196148 0.172452
88.000000 2.934148 52.400834 33.950963 1.196029 0.146661
89.000000 2.967491 53.134509 33.274759 1.929704 -0.529542
90.000000 3.000833 52.052299 34.294828 0.847494 0.490526
91.000000 3.034176 52.455163 33.766527 1.250358 -0.037775
92.000000 3.067518 52.638706 33.584981 1.433901 -0.219320
93.000000 3.100861 52.086907 33.990237 0.882101 0.185936
94.000000 3.134203 52.853408 32.940076 1.648603 -0.864225
95.000000 3.167546 53.585665 32.940372 2.380859 -0.863930
96.000000 3.200889 54.297133 32.059513 3.092328 -1.744788
97.000000 3.234231 52.361789 34.203058 1.156983 0.398757
98.000000 3.267574 52.909518 33.013072 1.704713 -0.791230
99.000000 3.300916 52.800242 33.950313 1.595437 0.146012
100.000000 3.334259 52.635585 34.329348 1.430780 0.525047
101.000000 3.367602 53.207287 33.854049 2.002482 0.049747
102.000000 3.400944 52.756832 34.163575 1.552027 0.359273
103.000000 3.434287 52.350010 33.770829 1.145205 -0.033472
104.000000 3.467629 52.565287 33.961029 1.360482 0.156727
105.000000 3.500972 53.597622 32.924698 2.392817 -0.879604
106.000000 3.534315 53.962113 33.475527 2.757308 -0.328774
107.000000 3.567657 53.896971 32.849578 2.692166 -0.954724
108.000000 3.601000 53.794244 33.179628 2.589438 -0.624673
109.000000 3.634342 53.821465 33.672584 2.616659 -0.131717
110.000000 3.667685 53.660562 33.232397 2.455756 -0.571904
111.000000 3.701027 52.878881 33.342116 1.674075 -0.462185
112.000000 3.734370 53.224605 33.437272 2.019800 -0.367029
113.000000 3.767713 53.220552 33.031478 2.015747 -0.772823
114.000000 3.801055 53.911469 33.201610 2.706664 -0.602692
115.000000 3.834398 53.256112 33.435872 2.051307 -0.368430
116.000000 3.867740 53.219589 34.189573 2.014784 0.385272
117.000000 3.901083 53.286727 33.425561 2.081922 -0.378740
118.000000 3.934426 52.653944 33.669603 1.449139 -0.134699
119.000000 3.967768 53.255718 33.541009 2.050912 -0.263292
120.000000 4.001111 52.754239 34.744177 1.549434 0.939876
121.000000 4.034453 54.191680 32.940049 2.986875 -0.864253
122.000000 4.067796 53.629746 33.517221 2.424940 -0.287080
123.000000 4.101139 53.085847 34.990130 1.881042 1.185829
124.000000 4.134481 53.713900 34.286871 2.509095 0.482570
125.000000 4.167824 54.185814 33.069730 2.981009 -0.734571
126.000000 4.201166 54.269000 33.267800 3.064195 -0.536501
127.000000 4.234509 53.553779 33.544504 2.348974 -0.259798
128.000000 4.267852 53.821224 33.469808 2.616418 -0.334494
129.000000 4.301194 54.079490 33.515211 2.874684 -0.289091
130.000000 4.334537 54.130375 33.501276 2.925570 -0.303025
131.000000 4.367879 54.000826 32.769564 2.796021 -1.034737
132.000000 4.401222 53.254990 33.585323 2.050185 -0.218979
133.000000 4.434564 53.102417 33.680071 1.897612 -0.124230
134.000000 4.467907 53.542536 33.498228 2.337731 -0.306074
135.000000 4.501250 53.707303 33.462898 2.502497 -0.341404
136.000000 4.534592 53.770297 33.370891 2.565492 -0.433410
137.000000 4.567935 55.250776 31.917856 4.045971 -1.886445
138.000000 4.601277 55.251708 31.929207 4.046902 -1.875094
139.000000 4.634620 54.825413 32.222314 3.620608 -1.581987
