# frame time_sec x y dx dy
0.000000 0.000000 82.556143 48.440552 0.000000 0.000000
1.000000 0.033343 82.697917 48.632444 0.141774 0.191892
2.000000 0.066685 82.687642 48.633925 0.131499 0.193373
3.000000 0.100028 82.699481 48.622890 0.143338 0.182337
4.000000 0.133370 82.511447 48.663047 -0.044696 0.222494
5.000000 0.166713 82.442430 48.691066 -0.113713 0.250514
6.000000 0.200056 82.444387 48.692784 -0.111756 0.252232
7.000000 0.233398 82.442430 48.691066 -0.113713 0.250514
8.000000 0.266741 82.533605 49.057390 -0.022538 0.616838
9.000000 0.300083 82.467921 49.090460 -0.088222 0.649908
10.000000 0.333426 82.471405 49.080372 -0.084738 0.639820
11.000000 0.366768 82.763291 49.175214 0.207148 0.734661
12.000000 0.400111 82.692637 49.136397 0.136494 0.695844
13.000000 0.433454 82.688315 49.150623 0.132172 0.710071
14.000000 0.466796 81.767065 49.182249 -0.789078 0.741697
15.000000 0.500139 81.768714 49.202101 -0.787429 0.761549
16.000000 0.533481 81.829872 48.948852 -0.726271 0.508300
17.000000 0.566824 81.786313 48.974783 -0.769830 0.534231
18.000000 0.600167 81.786313 48.974783 -0.769830 0.534231
19.000000 0.633509 81.836501 49.154214 -0.719642 0.713662
20.000000 0.666852 81.827371 49.149191 -0.728772 0.708639
21.000000 0.700194 81.741426 49.160467 -0.814717 0.719915
22.000000 0.733537 82.070895 49.161000 -0.485248 0.720448
23.000000 0.766880 82.100434 49.186025 -0.455709 0.745472
24.000000 0.800222 82.085134 49.149021 -0.471009 0.708469
25.000000 0.833565 82.165411 49.018355 -0.390732 0.577802
26.000000 0.866907 82.165411 49.018355 -0.390732 0.577802
27.000000 0.900250 82.165411 49.018355 -0.390732 0.577802
28.000000 0.933593 82.565772 49.301079 0.009629 0.860527
29.000000 0.966935 82.452369 49.177531 -0.103774 0.736979
30.000000 1.000278 82.455408 49.169026 -0.100735 0.728474
31.000000 1.033620 81.294282 48.838417 -1.261861 0.397865
32.000000 1.066963 81.339086 48.830900 -1.217058 0.390347
33.000000 1.100305 81.339086 48.830900 -1.217058 0.390347
34.000000 1.133648 81.339086 48.830900 -1.217058 0.390347
35.000000 1.166991 81.713376 49.112527 -0.842767 0.671974
36.000000 1.200333 81.718013 49.152572 -0.838130 0.712020
37.000000 1.233676 82.400901 49.074832 -0.155242 0.634280
38.000000 1.267018 82.488131 48.984175 -0.068012 0.543623
39.000000 1.300361 82.487614 48.984397 -0.068529 0.543845
40.000000 1.333704 82.490976 49.325027 -0.065168 0.884475
41.000000 1.367046 82.542640 49.212503 -0.013503 0.771950
42.000000 1.400389 82.533919 49.231833 -0.022224 0.791281
43.000000 1.433731 82.180486 49.270728 -0.375657 0.830176
44.000000 1.467074 82.180486 49.270728 -0.375657 0.830176
45.000000 1.500417 82.190920 49.332298 -0.365223 0.891746
46.000000 1.533759 82.225187 49.089838 -0.330956 0.649285
47.000000 1.567102 82.218435 49.113886 -0.337708 0.673333
48.000000 1.600444 82.225187 49.089838 -0.330956 0.649285
49.000000 1.633787 81.809942 48.949402 -0.746201 0.508849
50.000000 1.667130 81.856743 49.045123 -0.699400 0.604571
51.000000 1.700472 81.821666 48.998818 -0.734477 0.558266
52.000000 1.733815 82.126961 49.240003 -0.429182 0.799451
53.000000 1.767157 82.124328 49.246594 -0.431815 0.806041
54.000000 1.800500 82.384632 48.888774 -0.171511 0.448222
55.000000 1.833842 82.373854 48.894780 -0.182289 0.454227
56.000000 1.867185 82.384632 48.888774 -0.171511 0.448222
57.000000 1.900528 82.365498 48.964434 -0.190645 0.523881
58.000000 1.933870 81.941657 49.138317 -0.614486 0.697764
59.000000 1.967213 81.941657 49.138317 -0.614486 0.697764
60.000000 2.000555 82.049661 49.351649 -0.506482 0.911097
61.000000 2.033898 82.083911 49.325875 -0.472232 0.885322
62.000000 2.067241 82.081512 49.321575 -0.474631 0.881023
63.000000 2.100583 82.195209 49.566359 -0.360934 1.125807
64.000000 2.133926 82.195046 49.571822 -0.361097 1.131270
65.000000 2.167268 82.202067 49.594380 -0.354076 1.153827
